user_id,recency,frequency,monetary,avg_order_value,Cluster,agg_cluster
"AE64UCDJJ5GO35UI7VJ2OCCZMGFQ,AHQNBEQHTS5HDSNP3LMLQA4H4YPQ,AEPSO6AT7QUTF6LYRISXUYQKHM7Q,AH4ZZLZF5JO74MJ3E6WURPHAOKVA,AE6X7T342OTM3RULX5KQPVUT7TTA,AFIWBQHKNAVWZTU7RYW3TJLJVPOA,AH6SPM32C4XZBAFVXZXENRZ54LSA,AGWQXJIDWICZWNZWNO7SKP3YFEYQ",64,1,3249.0,3249.0,1,1
"AE6DY6YWTSSE3XNHDXZDGQM2JL2Q,AES3UPSNCD37JZLHZ3OIILRLLLCA,AESL7YEFFKTIZRBEDUCMD56K6VQA,AHEV734TKPP6CEJPWIMMHA65SL2A,AGBLMQ2TLWRDFQ32LGRIVVPYOQVQ,AHKUSAJGBXVQQSDC4RCKHF6PFODQ,AEPEJSIYSFPXKOXPS2QHZ7P5VCIA,AEU44FW4XJBDB33N4LYZMVLOUYOA",740,1,279.0,279.0,0,0
"AE6FSULFZEB65U7FWSETNHLBP5JQ,AGV3YW3GZJTWUP4FC7UBOYRWEFUQ,AE6HGV4SSK2V4C4QVOKY42KZW2DQ,AH2NX4DPPSUUQYJJYAECCBRBJK6Q,AEJ47MXJRDNX6VPRKKW5KD56SAFQ,AEHOGFWLLZ3VXB3FKNIMZU5QBQQQ,AGCU4M3EJ346F7J4DKXK4C6FKXKQ,AHH4X42X46T6KKBR7G3L7TCGV3OA",459,1,225.0,225.0,0,0
"AE6PYJAIQ4PNYJNVMWW6NOCP2SPA,AGQBKNH24HGPL3INPZWJQ4GFRDJA,AHWV6EKDNZ7ZGNEPMUJNXT7JHSRA,AFR4RHGUIRKKR7YFRFXHRHPBAEDQ,AETZFDQIFECA7GMZHIA2CHVPLIJQ,AHIP2HW7P357NTKOSI5YIEQVN27Q,AF2QTRAXJNM6RNHLGYYPDJ32KOOQ,AHDQ55QTDUSZWLSZABNYVS34WPFQ",429,1,1464.0,1464.0,1,0
"AE6QIRYYQXWBXRANCBNV7UQU3C3Q,AFR73WEZI4S76UC6WTRTOM27ENZQ,AFCBKJAWH4J2UWEUQEGSVYNFT2YA,AFDKMC6DZFM4M7BKRFA4APKCYZHQ,AECLFSQIEBC26S2ZU7FRYDI66W2A,AFTZLBOMSZSCBJ7CK5VXRSA6FGMQ,AH3HKWLRRJWVLWWNSNRI67WU77ZQ,AHMPP4TKEPMV7DE5QB5NSFTTXUPQ",813,1,399.0,399.0,0,0
"AE6TTPY5R4YW3XHTPGX6CGHLMVGA,AG5CBSM4UJ7KPPFIQGZPIXASGR2Q,AHM4EBIS4ZE6DWJJBGCJ7OPTBA4Q,AE5M5KSBCHDULWFU2S2YB7JAWQDQ,AGMVFFHVHR6DRCMJOOLWQCN5ZXIQ,AECKGXUASU4IXEIMUNT2ZGT47JPQ,AHJVTASYJSVOZ7XSEMDCWOK3X44Q,AGWG3P5XN6X6JHXKXXOK67JWZRXA",578,1,1295.0,1295.0,0,0
"AE6YWSEP7SYHCL2F5WLM3JLAPTDA,AGMOSQZYENCGDYQFYZG76EYEMCGA,AF33L2INL2ERR46KPNMQ6R5BRYXQ,AG247WO5BV4INTTCQ3H35SSEPVJQ,AER4JBQGMSVBHQGHMB6GOMU3BS3A,AGTJV66YYDYUYNBXEY2LCR7M5O5A,AHJDJPODT66LJAPROAV3ENMD4PLA,AGL5JWV3DFJIR6T23UKXMUS7BQTA",180,1,3859.0,3859.0,1,1
"AE7D3RJLZB7FRIEHCAY6O2ATRJDQ,AGR6MSMT6NDHTYUYWIF25PIVEEQQ,AGDGOIKF2V3IFHQLZ7QSCAYQTRNQ,AHQ6LZRLPWZRHXDESLTHYTIQPKVA,AHNLTNUGEDFJQZDRMZTHFFEV6YHA,AE4ENCSAVBVYJVFC3GMNMRDSD2KA,AEBRFXFON7LZTJCLJHVYUTGAG4JA,AEA7RJWIWRHGUYKUP6LJBPRSZCDA",498,1,2640.0,2640.0,1,1
"AE7FJN3NTELV6LEGHCJEF3KVHDTQ,AHKROJWBVJVV7IKLAA25VSE6D3DQ,AGVKMZBRHV3SFV4YC5BYJPTXY6CQ,AFFWY6CWXFXPQZ6FP4RDR3FHTCUA,AFHIHV565WL46UIVDWGV5UZHZFXA,AGPWCDNDTSD6WCMHDWECMEE7WQTQ,AEMUKHRIKGIUXS6PTQTYDTMGPNMA,AERBIKQOWRHZIFLPTJF2KBWMMN3Q",36,1,1799.0,1799.0,1,1
"AE7M7M6QTDYEHQKAKXIWO2OVMBXQ,AESSDAJQCU3XKBAGYDYVBCKLOTSQ,AF3DTQ5WLDISMZLEORWHXTLHV3NQ,AHF2BSEZURS7UKI23YIHED3UIJKQ,AFZKPE6ZA4U5QVICSDRTTYN7PJEQ,AECBX5NSUD2POXPYXHZSETUVH5CA,AGRBDMHDBF2KXPBPF4S5PAVY3NYQ,AG6Z3AUD67XGSSTZOR6GZX3IC3DA",337,1,160.0,160.0,0,0
"AE7RG5GRVSLRP2HGPKIF2JJ7BAHQ,AFCDHTYGHMNLNK2S3X6JVQOT6AXA,AG3JRPG6MIZTLYNMIRBGFYDZVLBQ,AGFY572BCNP6M74AI2RXGPJTWC7A,AF56KWTGYOCMXLKEJHOSIUZSVZ4A,AF276RVUYCN7YJGIRUR2HDODWF7A,AH4ZIAFAMC5PBWBHQZDSHS2JHUBQ,AFBJNCLV6XVUCTE24MRPXR4IURXQ",167,1,475.0,475.0,0,0
"AE7WYVO3LE7NWMHVORZVUYS55TJQ,AFMN7VI5JFZCWKPLS2N5LZNYAWOA,AGC774HH2OPQGNJEUGLITUQQVABQ,AFGHLIYZUGSZ226IRP5CMW6RM72A,AE6O5SNFA7JNCFCI36XMSLHPT6IA,AFXD4X5ZHUPRNQTYZIVCELJUSBYQ,AFU2A2JSELGD55YLLEA2FEDCPZPA,AEY6PEMQ7DII44WSUSC67JEWDE3A",344,1,1499.0,1499.0,1,0
"AE7ZYKK6AN7B2Y7ACR7JHJW236LA,AESOWISQWBKYJDU52KCZ7YS6SVBQ,AG7DKLB2T3PNRAY6LDLIW6VJMJMQ,AGTPGCOUIYSGBEI4FNB5DBNZ3YSQ,AEV7FG26UKIYP5BGJCKTAAW2P7IA,AGMNUA3JQNKB6LFY5U6IVEOUL24A,AHORRTX6YEOE4EHOZ7SMYMIVM2LA,AGW3S7WWJPRUQR3E5NM4WDXE2QNA",402,1,2499.0,2499.0,1,1
"AEACCLBAYRCRJLUMTQVS5JSOYYVA,AEBFS3LI626ABZMQMQQZAVCZMSEA,AEPNFXQVCUUGVV74K5KGJEIGCBMA,AE7YHD67JEECIX3IESFI44QL4HNQ,AFCCTAOXYH2XQNESLRQRH72G27ZQ,AGSVOGYYWRHJDZKU3MCFFYIPEVWQ,AGWVUW6YRWVQ3III5WXH7X4RE4DA,AHEH2QAVUEPNGB7EQJJWPYAOCAAQ",766,1,1549.0,1549.0,0,0
"AEACCLBAYRCRJLUMTQVS5JSOYYVA,AETROJMOXLWYXXLMLCU7KW4HXETA,AH4BA34R2VIOKQRIJLXUDKFR3MQQ,AFYSXQBPVL6SBVWFIUWXNK5P2FWQ,AENMVCXATZBLHQGMVGSSY4XTNKRA,AHGP46O5MO2FPEVAHZM6A7EZHAEA,AGAHJYQQHZEZZ7ZVR7557735PGVQ,AET4QQ4FHIRE6OWDOEU2264PW27Q",503,1,326.0,326.0,0,0
"AEACEPNVLWUZDAPOTC4PB6YMDU4A,AH4HHPHQEEW6TGP4SIWHZPZAUM3Q,AHQOM5PWAU6KFW3HTQIT4BOV2XEQ,AERKVDGB67MRPUA7EHTNJYGY7JAA,AF6MFZXNYSO5M47G6B3UUTJAINPQ,AF2EXNHBVW22JUI2M3SOSBOLFKTA,AGIJXNFC5UX7UAPUWQCEFE2IN43A,AFU2G5BSSM76EG3V5K6ZIZ3NVIRQ",18,1,457.0,457.0,0,0
"AEAD2LHI2R3QVR3AQKOPB523SVUA,AGHZS375UQZ6XK6BYQCZ2YJ4TX6A,AE3EZWQC4YBZLYGELTAF4RPD4YVQ,AGHNTOZPHJSNZXAV6VXZ55QQS2VA,AE34CJ4WMOVB26TU5H42L74U5DGA,AEMLPNYNPF73NMFYHSSXRCYO2OGQ,AER43SPS7UTEVRDP7YPU3HTOQA3A,AHF2MPFWRSCS6OXUZ3D5W3C37CRA",703,1,252.0,252.0,0,0
"AEAHCVLMYLKLICSIKCTUS54NVQ2A,AFRIWQJKFSDZKTRTU5RSBKSQMIVA,AHFQXP2EQZOT7NTNHK5TMB6QA5QQ,AGLL6YL7RHHSDDGKWQO7ZIG3TXDQ,AGT4T2NBHXL5XVSRRCKSIGW7LDJA,AEAZZCC5KRGSGXGTGBRNK2O6IDAQ,AGBESE5F5QORNV2B6HE4UL4AMZ7Q,AE7QJ5FKTIU6K26GFQWGMXKO2MGQ",21,1,253.0,253.0,0,0
"AEAHQT2GADXG7O5HE362SSWYG5TQ,AFXIZPXW2Y4UA5NWS3EEQOVQGJZQ,AHCUW37ZFHKL7ZTUFAAOFYKTCQNA,AG2MU763T3BPRZNAXR3VCD35A4UQ,AFTZLBOMSZSCBJ7CK5VXRSA6FGMQ,AGGY6AIN2TRYYC62GJQ5B2Z6ZNCA,AF3XNLNL4NT6ZSZUXYXARJAWYFPQ,AGKYWFUBZOSOAMI4I6YA72S6I5QA",557,1,2649.0,2649.0,1,1
"AEAJ3Z2IULDDDQC7KCSUIC62M3GA,AEUO6UO5UQUSD4SLP3YJMIP6BOWA,AE5LG42YQKQ5MSEFHFL7N2AIUGQA,AGBOOOPREO7W2ZYNMUBO63UNF5LA,AG2VIEGXWD4W3JNOTSCZR5VU52PQ,AGDKUAES3AEKOQYGU2SSSDV7GGNQ,AE5UIXZIYQZMWTMJQNMGSPZKNUXQ,AFBLE3JAWJK5XQJTOQHYLKNJX3FA",562,1,2490.0,2490.0,1,1
